"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"17","Apoptotic Execution Phase R-HSA-75153","4/52",0.001201488905401,0.0401143363887596,0,0,9.41571428571429,63.3130870273769,"SATB1;PRKCD;LMNA;VIM"
"18","Cell Surface Interactions At Vascular Wall R-HSA-202733","6/134",0.0013179723082667,0.0401143363887596,0,0,5.33589234104046,35.3858283567944,"TGFB1;ITGAV;ITGA6;SLC3A2;PIK3CB;CD44"
"19","Signaling By TGF-beta Receptor Complex R-HSA-170834","5/91",0.00135691027139882,0.0401143363887596,0,0,6.59415931569099,43.5382337712603,"TGIF1;TGFB1;MYC;PMEPA1;ITGAV"
"20","Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424","3/25",0.00140259917443215,0.0401143363887596,0,0,15.3401342975207,100.775911006375,"NT5E;NLRP3;NFKB2"
"21","Chemokine Receptors Bind Chemokines R-HSA-380108","4/56",0.00158546330345929,0.0403906373777066,0,0,8.68967032967033,56.0212497706033,"CCL3L1;CXCR3;CCR7;CCR2"
"22","Attachment Of GPI Anchor To uPAR R-HSA-162791","2/7",0.00162409905539729,0.0403906373777066,0,0,44.7819209039548,287.625413134079,"PGAP1;PLAUR"
"23","Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359","2/7",0.00162409905539729,0.0403906373777066,0,0,44.7819209039548,287.625413134079,"MYC;CD44"
"24","Interleukin Receptor SHC Signaling R-HSA-912526","3/27",0.00176048779316492,0.041958292403764,0,0,14.0603693181818,89.1731730815472,"IL2RA;PIK3CB;IL2"
"25","TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541","5/100",0.00205968264197227,0.0456061217607074,0,0,5.96672716273442,36.9054209270327,"TNFSF14;TNFRSF12A;FASLG;NFKB2;RELB"
"26","Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364","2/8",0.00215273651667675,0.0456061217607074,0,0,37.316384180791,229.160491706902,"TCF7L2;MYC"
"27","RUNX3 Regulates WNT Signaling R-HSA-8951430","2/8",0.00215273651667675,0.0456061217607074,0,0,37.316384180791,229.160491706902,"TCF7L2;MYC"
"28","Innate Immune System R-HSA-168249","19/1035",0.00238853869572036,0.0487944333554302,0,0,2.19792691929134,13.2690464130629,"MAP2K3;ANXA2;CD81;PRKCD;PELI2;PLAUR;PIK3CB;BAIAP2;NFKB2;RELB;AIM2;NLRP3;CYSTM1;ITGAV;CD59;LRRFIP1;ATP6V0D1;CD44;CCR2"
